Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,208.74513350154808,163.44621196108454,5.0150057810916735,-0.3073897230302147,0.008900000000000019,0.010000000000000009,0.0078,4000,0.00012507089189992297,0.00012507089189992297,0.00012507089189992297,0_1:0.006034038190083246,0_1:460
1,238.82291273548057,341.88784160468276,4.955847533165176,-0.307753992139621,0.012699999999999934,0.01539999999999997,0.01,4000,0.000220851028565292,0.000220851028565292,0.000220851028565292,undefined,undefined
2,274.6094428479547,201.9545565635794,4.806655099637059,-0.31037869033292903,0.005900000000000016,0.008000000000000007,0.0038,4000,0.00013734680742443726,0.00013734680742443726,0.00013734680742443726,2_1:0.006152524870839449,2_1:460
3,165.51459874610373,228.56736339659136,5.232285797246095,-0.3037265291936018,0.061799999999999966,0.0628,0.060799999999999965,4000,0.00018029936404215683,0.00018029936404215683,0.00018029936404215683,3_2:0.0077804389335317525,3_2:940
4,211.59602388229973,234.34339126719462,5.138311531587826,-0.30539509166825984,0.00869999999999993,0.008000000000000007,0.0094,4000,0.00020403428889565807,0.00020403428889565807,0.00020403428889565807,4_3:0.00832875435048816; 4_15:0.004850906099370139,4_3:460; 4_15:460
5,151.13412581007296,207.34004064692425,4.988051364212758,-0.3075531678616803,0.01540000000000008,0.010000000000000009,0.0208,4000,0.00014823356044183061,0.00014823356044183061,0.00014823356044183061,5_4:0.005068587120819618; 5_6:0.0042000519658449975,5_4:460; 5_6:460
6,336.32590061117645,181.25475657713835,4.89888024112968,-0.30753844283129655,0.014100000000000001,0.015000000000000013,0.0132,4000,0.00023551151693990572,0.00023551151693990572,0.00023551151693990572,undefined,undefined
7,189.17273615571742,162.2774837381485,5.022894540860836,-0.3068078211557421,0.03760000000000008,0.0342,0.041000000000000036,4000,0.0001631097752973194,0.0001631097752973194,0.0001631097752973194,7_6:0.004920925757302741,7_6:460
8,138.1280461892318,99.84541524373327,5.111758006724782,-0.3057127715447243,0.02300000000000002,0.0258,0.020199999999999996,4000,0.00032680515101313765,0.00032680515101313765,0.00032680515101313765,8_7:0.01019585775577278,8_7:460
9,132.7491349204945,32.46118156368596,5.153253479002149,-0.3057355730459039,0.03720000000000001,0.028800000000000048,0.0456,4000,0.0004838279305502293,0.0004838279305502293,0.0004838279305502293,9_8:0.012286567792837544,9_8:460
10,80.06413522126482,120.9255934020574,4.997021509378695,-0.30693756037597947,0.009400000000000075,0.01,0.00880000000000003,4000,0.0001836217798563838,0.0001836217798563838,0.0001836217798563838,10_9:0.01133502597226907,10_9:460
11,205.06146636718057,34.68098327477827,5.17453462198098,-0.3039492480369073,0.01869999999999994,0.0236,0.013800000000000034,4000,0.0005911051408160989,0.0005911051408160989,0.0005911051408160989,11_10:0.008518312385481175; 11_12:0.008595852233428236,11_10:460; 11_12:460
12,215.07464128891564,20.4907891298734,4.935413914472757,-0.30846168737112517,0.04059999999999997,0.046,0.03520000000000001,4000,0.0002292619212056061,0.0002292619212056061,0.0002292619212056061,12_17:0.014254481705541083,12_17:940
13,161.208446513013,58.24859665640262,5.168675689893447,-0.3044389397788277,0.008199999999999985,0.009800000000000031,0.0066,4000,0.0002873869576513103,0.0002873869576513103,0.0002873869576513103,13_12:0.008250796277752825,13_12:460
14,293.4680648605177,107.39539517654023,4.930149260152435,-0.3079761596005233,0.012199999999999989,0.013,0.011399999999999966,4000,0.0002370751650451641,0.0002370751650451641,0.0002370751650451641,14_0:0.005188106155975369,14_0:460
15,183.74615339416675,57.03168209182998,5.015151964949111,-0.3069916034117212,0.11650000000000005,0.22399999999999998,0.009,4000,0.00016690210168687699,0.00016690210168687699,0.00016690210168687699,undefined,undefined
16,26.188367110260977,20.99610720527349,5.279192367648181,-0.3023502001385665,0.014000000000000012,0.013599999999999945,0.0144,4000,0.0006878527462664568,0.0006878527462664568,0.0006878527462664568,16_8:0.012106064764411673,16_8:460
