Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,269.74824811129173,189.87696191199456,5.015005060588572,-0.3073897230302147,0.009299999999999975,0.011399999999999966,0.0072,4000,0.00012751770541354066,0.00012751770541354066,0.00012751770541354066,0_1:0.0038486464597862757,0_1:460
1,237.99563201894287,297.3956487838141,4.955870223620614,-0.307753992139621,0.012700000000000045,0.014800000000000035,0.0106,4000,0.00014207106769084765,0.00014207106769084765,0.00014207106769084765,undefined,undefined
2,153.26653625337053,245.6561980874934,4.806655558112992,-0.31037869033292903,0.0048000000000000265,0.007000000000000006,0.0026,4000,0.00011821378401344663,0.00011821378401344663,0.00011821378401344663,2_1:0.00415708887187502,2_1:460
3,93.28621836185567,142.0300956945916,5.232279835585235,-0.3037265291936018,0.05600000000000005,0.0564,0.05559999999999998,4000,0.0005453954495533593,0.0005453954495533593,0.0005453954495533593,3_2:0.011019240795091867,3_2:940
4,207.96199871303045,211.2617964610766,5.138315064091379,-0.30539509166825984,0.008899999999999908,0.007399999999999962,0.0104,4000,0.00012427923966987773,0.00012427923966987773,0.00012427923966987773,4_3:0.020866544467225967; 4_15:0.005026424338787916,4_3:460; 4_15:460
5,176.01031702525754,202.03638901557463,4.988053198531139,-0.3075531678616803,0.013399999999999967,0.01419999999999999,0.0126,4000,0.0001413634753225821,0.0001413634753225821,0.0001413634753225821,5_4:0.00539477604762581; 5_6:0.006830368656388391,5_4:460; 5_6:460
6,239.54942391139096,195.2004586807012,4.898880918132086,-0.30753844283129655,0.019100000000000006,0.021199999999999997,0.017,4000,0.0002015008709762988,0.0002015008709762988,0.0002015008709762988,undefined,undefined
7,173.66568661966005,162.76986141333114,5.022890401527316,-0.3068078211557421,0.040899999999999936,0.0402,0.04159999999999997,4000,0.00020390647848222133,0.00020390647848222133,0.00020390647848222133,7_6:0.006848211208985988,7_6:460
8,188.28096751482573,100.29830793030155,5.111761730822115,-0.3057127715447243,0.017900000000000027,0.0186,0.017199999999999993,4000,0.00027180677121838454,0.00027180677121838454,0.00027180677121838454,8_7:0.007163545134259625,8_7:460
9,175.38201715371514,33.21113697443356,5.153261080925072,-0.3057355730459039,0.03499999999999992,0.026599999999999957,0.0434,4000,0.00048477433746605455,0.00048477433746605455,0.00048477433746605455,9_8:0.01216651111780842,9_8:460
10,99.13495562286079,207.6525315565818,4.997021029462267,-0.30693756037597947,0.009099999999999997,0.0092,0.009000000000000008,4000,0.00021160455038013936,0.00021160455038013936,0.00021160455038013936,10_9:0.009534764372370247,10_9:460
11,209.79866239121083,33.13292769822478,5.17453080289618,-0.3039492480369073,0.017299999999999982,0.0186,0.016000000000000014,4000,0.00030362385649690356,0.00030362385649690356,0.00030362385649690356,11_10:0.006470133349125801; 11_12:0.010573335926014615,11_10:460; 11_12:460
12,223.52714787041094,21.731751359995524,4.93541564792823,-0.30846168737112517,0.03960000000000008,0.0454,0.03380000000000005,4000,0.00022040146952981935,0.00022040146952981935,0.00022040146952981935,12_17:0.013615155733681217,12_17:940
13,192.29865738822988,57.52041419772543,5.168677388208243,-0.3044389397788277,0.009800000000000031,0.012800000000000034,0.0068,4000,0.00026411024521393495,0.00026411024521393495,0.00026411024521393495,13_12:0.00817560474135312,13_12:460
14,212.72341134229194,99.74720434983004,4.930149508452951,-0.3079761596005233,0.009099999999999997,0.0102,0.008000000000000007,4000,0.00017603455169345263,0.00017603455169345263,0.00017603455169345263,14_0:0.006462308297175312,14_0:460
15,232.86501097631083,59.38706050110856,5.01515188799159,-0.3069916034117212,0.01869999999999994,0.022599999999999953,0.0148,4000,0.00016620849920566456,0.00016620849920566456,0.00016620849920566456,undefined,undefined
16,90.83471255371789,24.550581639874487,5.27919210981567,-0.3023502001385665,0.014899999999999913,0.015199999999999991,0.0146,4000,0.0006312639940008752,0.0006312639940008752,0.0006312639940008752,16_8:0.013581058770809534,16_8:460
17,118.38110332608456,124.24854186493295,5.395522691997268,-0.2997888060723667,0.05719999999999992,0.04179999999999995,0.0726,4000,0.00021613005847145387,0.00021613005847145387,0.00021613005847145387,17_30:0.011267359112134723,17_30:940
18,266.6858039409543,30.444907913814195,5.058554701033654,-0.306808337131999,0.026899999999999924,0.0242,0.0296,4000,0.00017003077982056836,0.00017003077982056836,0.00017003077982056836,18_14:0.005176426928084066; 18_19:0.017775591313983846,18_14:460; 18_19:460
19,220.16513708924631,230.8502705924627,4.958152684437616,-0.30800402608638516,0.007000000000000006,0.008199999999999985,0.0058,4000,0.00013925321899505697,0.00013925321899505697,0.00013925321899505697,undefined,undefined
20,166.283879585308,139.8896572337242,5.0440613664276475,-0.3058713864428892,0.01100000000000001,0.0126,0.009399999999999964,4000,0.00023144389076390067,0.00023144389076390067,0.00023144389076390067,20_33:0.004600680029373666; 20_19:0.006828700304633173,20_33:460; 20_19:460
21,194.64243103622783,250.1335663542443,5.159913181850614,-0.30320238859472054,0.029200000000000004,0.0318,0.026599999999999957,4000,0.000268099134941248,0.000268099134941248,0.000268099134941248,21_22:0.016930301228115535; 21_20:0.011386959343704733,21_22:460; 21_20:460
22,105.2401119254773,97.98050392580933,5.282248906328294,-0.3029991140570705,0.010399999999999965,0.012399999999999967,0.0084,4000,0.0005667336039657279,0.0005667336039657279,0.0005667336039657279,22_15:0.013632440870292306,22_15:460
23,255.09987711719688,102.37576762933212,5.162795187077261,-0.3051589949103431,0.06630000000000003,0.0772,0.055400000000000005,4000,0.00030572109127825954,0.00030572109127825954,0.00030572109127825954,23_24:0.008567318845817962; 23_22:0.01624894522063311,23_24:460; 23_22:460
24,193.8507679800139,77.93594744373456,5.079772038793674,-0.3049082887390848,0.04190000000000005,0.0444,0.03939999999999999,4000,0.0013302349882809517,0.0013302349882809517,0.0013302349882809517,undefined,undefined
25,76.61386721544163,100.22510324050226,5.137401803089494,-0.305216134105694,0.014699999999999935,0.0194,0.010000000000000009,4000,0.00027207181321401797,0.00027207181321401797,0.00027207181321401797,25_24:0.010864700643316572,25_24:460
26,173.70435021267014,64.53260114380971,5.213535752081376,-0.304293884142608,0.010499999999999954,0.013800000000000034,0.0072,4000,0.0020960580152371757,0.0020960580152371757,0.0020960580152371757,26_25:0.01053984803523661; 26_16:0.059945684252247805; 26_27:0.01418629116607642,26_25:460; 26_16:460; 26_27:460
27,277.25354252844625,45.96116640740838,5.0331908709868385,-0.30601194047888275,0.020100000000000007,0.0242,0.016000000000000014,4000,0.0003819765678477559,0.0003819765678477559,0.0003819765678477559,undefined,undefined
28,134.06462534571642,96.11594642951607,5.208366506167577,-0.3044034463293366,0.007900000000000018,0.009399999999999964,0.0064,4000,0.0002868103579857862,0.0002868103579857862,0.0002868103579857862,28_27:0.01057004010488169,28_27:460
29,203.64895186391732,141.48619943141193,5.117367826190447,-0.30445898440859526,0.01319999999999999,0.0144,0.01200000000000001,4000,0.0001721177320484192,0.0001721177320484192,0.0001721177320484192,29_30:0.006958931221951098; 29_28:0.006905865673685813,29_30:460; 29_28:460
30,237.66331772952927,64.42432549002487,5.030417413643427,-0.3065954745910495,0.06459999999999999,0.0644,0.06479999999999997,4000,0.00021621750933948424,0.00021621750933948424,0.00021621750933948424,30_31:0.008962529933733338,30_31:460
31,138.7818747824,99.02015660955745,5.187525999740199,-0.3046622662694324,0.04620000000000002,0.041,0.0514,4000,0.00018939742272959797,0.00018939742272959797,0.00018939742272959797,31_32:0.010482454951153075,31_32:460
32,232.10257369193644,311.4638558231814,5.06770865458804,-0.3051898215487422,0.018299999999999983,0.020199999999999996,0.0164,4000,0.0002079195063023552,0.0002079195063023552,0.0002079195063023552,32_36:0.017886374069072897,32_36:460
33,164.6389635517095,101.38561030245783,5.143155660699144,-0.3048693512942489,0.013700000000000045,0.01639999999999997,0.011,4000,0.00024502967076548104,0.00024502967076548104,0.00024502967076548104,33_39:0.006871613014808625,33_39:460
34,226.9338593336341,96.1120201756417,5.1099646136036085,-0.30524738246687383,0.026599999999999957,0.027800000000000047,0.0254,4000,0.001608710476135112,0.001608710476135112,0.001608710476135112,34_24:0.015941549961196566,34_24:460
35,231.4483320449258,79.40282614712746,5.26570926412237,-0.30290733373228534,0.016799999999999926,0.0176,0.016000000000000014,4000,0.0002806109937755137,0.0002806109937755137,0.0002806109937755137,35_28:0.011472412588141218; 35_47:0.011438710738250008,35_28:460; 35_47:460
36,300.0449331795438,209.92101897228585,4.987663926298411,-0.3066959215300392,0.021100000000000008,0.023800000000000043,0.0184,4000,0.0001822610384336574,0.0001822610384336574,0.0001822610384336574,36_51:0.0076978265403654655,36_51:460
