Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,225.35096373681404,178.48760722806017,5.0150014299091055,-0.3073897230302147,0.010699999999999932,0.010399999999999965,0.011,4000,0.00011162018020984998,0.00011162018020984998,0.00011162018020984998,0_1:0.0047166197968691315,0_1:460
1,223.07846533462728,346.037856606233,4.955834467579982,-0.307753992139621,0.011600000000000055,0.010800000000000032,0.0124,4000,0.00013438790348448932,0.00013438790348448932,0.00013438790348448932,undefined,undefined
2,182.0949857904655,182.38380468044048,4.806656347240444,-0.31037869033292903,0.0039000000000000146,0.00539999999999996,0.0024,4000,0.0002278004559792312,0.0002278004559792312,0.0002278004559792312,2_1:0.004558013366884661,2_1:460
3,155.8432742625325,71.5681676286207,5.232295881433052,-0.3037265291936018,0.07220000000000004,0.0852,0.05920000000000003,4000,0.0015527491541657776,0.0015527491541657776,0.0015527491541657776,3_2:0.013835429338050542,3_2:940
4,189.19532282793296,165.46441079993082,5.138321803510791,-0.30539509166825984,0.008799999999999919,0.009399999999999964,0.0082,4000,0.0001393577236999666,0.0001393577236999666,0.0001393577236999666,4_3:0.009742634003324396; 4_15:0.005306706885429779,4_3:460; 4_15:460
5,145.19569756984345,181.95551789234216,4.9880533200299455,-0.3075531678616803,0.013599999999999945,0.012599999999999945,0.0146,4000,0.0001437027736553701,0.0001437027736553701,0.0001437027736553701,5_4:0.004986336116620305; 5_6:0.005047798638106588,5_4:460; 5_6:460
6,188.32085106420624,169.4833475810963,4.898885044659499,-0.30753844283129655,0.014699999999999935,0.01639999999999997,0.013,4000,0.00022951170570622662,0.00022951170570622662,0.00022951170570622662,undefined,undefined
7,180.7783159451569,146.04882450278077,5.022889892125666,-0.3068078211557421,0.04289999999999994,0.0448,0.041000000000000036,4000,0.0002503825660613412,0.0002503825660613412,0.0002503825660613412,7_6:0.00609918961190925,7_6:460
8,87.17766483973176,81.02418594017391,5.111757311670452,-0.3057127715447243,0.01970000000000005,0.0216,0.017800000000000038,4000,0.00033107816599565077,0.00033107816599565077,0.00033107816599565077,8_7:0.019340996620778067,8_7:460
9,186.62168091211007,40.777642482652254,5.1532624912215335,-0.3057355730459039,0.021700000000000053,0.025800000000000045,0.0176,4000,0.0004368680196087607,0.0004368680196087607,0.0004368680196087607,9_8:0.011780442636414812,9_8:460
10,191.66263055072812,206.61203154103706,4.9970195264764,-0.30693756037597947,0.008000000000000007,0.0078,0.008199999999999985,4000,0.0001627742864033582,0.0001627742864033582,0.0001627742864033582,10_9:0.008587462797672696,10_9:460
11,221.70063262219452,34.92708404878385,5.174527340172033,-0.3039492480369073,0.01649999999999996,0.0174,0.015599999999999947,4000,0.00019151476668131717,0.00019151476668131717,0.00019151476668131717,11_10:0.004778901560073767; 11_12:0.0072984118187540414,11_10:460; 11_12:460
12,279.45926750035574,21.907597322355063,4.935415624709854,-0.30846168737112517,0.040899999999999936,0.0414,0.04039999999999999,4000,0.0002564463074331954,0.0002564463074331954,0.0002564463074331954,12_17:0.013440898317883532,12_17:940
13,172.71938654068973,62.2056343757958,5.1686765453976,-0.3044389397788277,0.009099999999999997,0.007800000000000029,0.0104,4000,0.00022278359497744066,0.00022278359497744066,0.00022278359497744066,13_12:0.009937221360352383,13_12:460
14,129.20388649408181,98.17924540477895,4.930150054859472,-0.3079761596005233,0.00990000000000002,0.0104,0.009399999999999964,4000,0.0004558965222744085,0.0004558965222744085,0.0004558965222744085,14_0:0.00497421618055785,14_0:460
15,260.4255929596097,55.08338307620129,5.015156569861146,-0.3069916034117212,0.023499999999999965,0.023599999999999954,0.0234,4000,0.0002773424477952653,0.0002773424477952653,0.0002773424477952653,undefined,undefined
16,167.14542798689334,27.78884013337048,5.27919135815243,-0.3023502001385665,0.02299999999999991,0.03059999999999996,0.0154,4000,0.0006332062859117633,0.0006332062859117633,0.0006332062859117633,16_8:0.01298065776664692,16_8:460
17,144.10820986857462,138.0075113509124,5.395518935947348,-0.2997888060723667,0.05510000000000004,0.04700000000000004,0.0632,4000,0.00019300809443792506,0.00019300809443792506,0.00019300809443792506,17_30:0.011679890978952029,17_30:940
18,275.5353125117132,30.977678394354474,5.058556140553281,-0.306808337131999,0.03380000000000005,0.03920000000000001,0.0284,4000,0.00026055647337000954,0.00026055647337000954,0.00026055647337000954,18_14:0.004951068882009163; 18_19:0.026705177749160036,18_14:460; 18_19:460
19,313.7416444676665,284.76613108602214,4.958150449511217,-0.30800402608638516,0.009000000000000008,0.01419999999999999,0.0038,4000,0.0001648653948050521,0.0001648653948050521,0.0001648653948050521,undefined,undefined
20,156.39087761378087,120.48748890541782,5.044060598947802,-0.3058713864428892,0.010099999999999998,0.0118,0.008399999999999963,4000,0.00022740520993209107,0.00022740520993209107,0.00022740520993209107,20_33:0.005193324319962778; 20_19:0.0053856618320215766,20_33:460; 20_19:460
21,184.4462591662544,162.56011817961064,5.159920927327969,-0.30320238859472054,0.028800000000000048,0.0298,0.027800000000000047,4000,0.0009442074429593224,0.0009442074429593224,0.0009442074429593224,21_22:0.016704237073716238; 21_20:0.010960482480166456,21_22:460; 21_20:460
22,119.06032732180397,89.47464932379562,5.282254781121593,-0.3029991140570705,0.014899999999999913,0.01859999999999995,0.0112,4000,0.00025483812935110206,0.00025483812935110206,0.00025483812935110206,22_15:0.020112806730191668,22_15:460
23,196.52485778800948,119.75846678130797,5.1628295500106525,-0.3051589949103431,0.06509999999999994,0.0836,0.046599999999999975,4000,0.0006528919993902617,0.0006528919993902617,0.0006528919993902617,23_24:0.010784408000688361; 23_22:0.015831652221545672,23_24:460; 23_22:460
24,182.96435465658197,113.32196736252455,5.079741313769829,-0.3049082887390848,0.048899999999999944,0.043,0.05479999999999996,4000,0.0009089603284841733,0.0009089603284841733,0.0009089603284841733,undefined,undefined
25,79.92404920287153,81.00683036281382,5.137399220434776,-0.305216134105694,0.016899999999999915,0.0234,0.010399999999999965,4000,0.0003591812425658737,0.0003591812425658737,0.0003591812425658737,25_24:0.008932656218030882,25_24:460
26,125.7440455016744,51.37687374742542,5.213537419753385,-0.304293884142608,0.011400000000000077,0.0158,0.007000000000000006,4000,0.00032683709336357394,0.00032683709336357394,0.00032683709336357394,26_25:0.008992708919998621; 26_16:0.014782285977996745; 26_27:0.02079998478727335,26_25:460; 26_16:460; 26_27:460
27,26.90517149081144,23.839842270941745,5.033183229903819,-0.30601194047888275,0.02310000000000001,0.0348,0.011399999999999966,4000,0.0006834014059906733,0.0006834014059906733,0.0006834014059906733,undefined,undefined
28,81.39128561798731,109.186028686672,5.20836424121697,-0.3044034463293366,0.008000000000000007,0.010399999999999965,0.0056,4000,0.00023366132378326363,0.00023366132378326363,0.00023366132378326363,28_27:0.015043463799685769,28_27:460
29,184.64916457563496,137.7963893531328,5.117365621116603,-0.30445898440859526,0.011800000000000033,0.0162,0.007399999999999962,4000,0.00034737929052385783,0.00034737929052385783,0.00034737929052385783,29_30:0.006374464652140449; 29_28:0.01056905748768791,29_30:460; 29_28:460
30,259.23258735194423,72.04681632402011,5.030418403602921,-0.3065954745910495,0.0685,0.067,0.06999999999999995,4000,0.00026047876393210526,0.00026047876393210526,0.00026047876393210526,30_31:0.009066477950421259,30_31:460
31,238.08513157215296,98.07893061113167,5.1876088187938745,-0.3046622662694324,0.047599999999999976,0.0416,0.05359999999999998,4000,0.0003391999710552158,0.0003391999710552158,0.0003391999710552158,31_32:0.008541480956465536,31_32:460
32,198.65039634557542,301.4924409385665,5.067716124148833,-0.3051898215487422,0.0131,0.012399999999999967,0.0138,4000,0.00021217859592945358,0.00021217859592945358,0.00021217859592945358,32_36:0.015447066174346574,32_36:460
33,155.18058547285833,110.57029520927483,5.143155216405821,-0.3048693512942489,0.012899999999999912,0.014599999999999946,0.0112,4000,0.00021525815624410448,0.00021525815624410448,0.00021525815624410448,33_39:0.006868806047605952,33_39:460
34,232.31128938941825,132.18186812055424,5.109964175702975,-0.30524738246687383,0.06459999999999999,0.028000000000000025,0.1012,4000,0.0013076679563304124,0.0013076679563304124,0.0013076679563304124,34_24:0.014102678255820122,34_24:460
35,225.99790563562647,86.95194469316549,5.2657119937468275,-0.30290733373228534,0.02739999999999998,0.0414,0.013399999999999967,4000,0.0007303531861745257,0.0007303531861745257,0.0007303531861745257,35_28:0.013835886172488154; 35_47:0.05198245440681251,35_28:460; 35_47:460
36,141.68488573676234,209.757145825262,4.9876725886014395,-0.3066959215300392,0.025800000000000045,0.03539999999999999,0.0162,4000,0.0007930837442539796,0.0007930837442539796,0.0007930837442539796,36_51:0.020461192323085853,36_51:460
37,136.62797143377418,67.17039303953472,5.15219422932198,0,0.00880000000000003,0.011,0.00660000000000005,4000,0.00018809712475934858,0.00018809712475934858,0.00018809712475934858,37_38:0.012445285496946179,37_38:460
38,48.92791531060619,105.01618044500448,5.055804039018676,-0.30678375599991753,0.06989999999999996,0.07979999999999998,0.06,4000,0.0005915639223849615,0.0005915639223849615,0.0005915639223849615,38_39:0.01847883863093666,38_39:460
39,207.9848590501571,78.11000439846893,5.014596123300065,-0.30625339810279006,0.23859999999999992,0.238,0.2392,4000,0.0003613109466539874,0.0003613109466539874,0.0003613109466539874,undefined,undefined
40,278.2104484626001,220.46020057224302,4.913880864441526,-0.3085609423192856,0.021199999999999997,0.0252,0.0172,4000,0.00023285951880120247,0.00023285951880120247,0.00023285951880120247,40_41:0.005544057378390671; 40_39:0.007725856567114581,40_41:460; 40_39:460
41,189.01520332880918,259.1905367289575,4.849439309496783,-0.3098668548576439,0.011900000000000022,0.012599999999999945,0.0112,4000,0.00027602257595606545,0.00027602257595606545,0.00027602257595606545,undefined,undefined
42,157.1604720717372,226.6760918330856,5.188844685095316,-0.3040822476358015,0.14839999999999998,0.1558,0.14100000000000001,4000,0.00021299604670027921,0.00021299604670027921,0.00021299604670027921,42_41:0.013290101032629564; 42_43:0.009564657379117575,42_41:644; 42_43:460
43,191.0250974309583,182.67870582013214,5.2461291056551245,-0.3036193558615149,0.09949999999999992,0.104,0.09499999999999997,4000,0.0005183813523059877,0.0005183813523059877,0.0005183813523059877,43_44:0.00612578462413671; 43_34:0.01581249888379055,43_44:460; 43_34:460
44,257.72491067675907,234.12632542030374,5.386919674245958,-0.3017743712270534,0.040899999999999936,0.04420000000000002,0.0376,4000,0.0002617086048434472,0.0002617086048434472,0.0002617086048434472,44_45:0.02407401869044723,44_45:940
45,175.3329828407396,196.6140493233121,4.959525781938225,-0.3070850274320939,0.028299999999999992,0.03320000000000001,0.0234,4000,0.0007740488548124561,0.0007740488548124561,0.0007740488548124561,undefined,undefined
46,96.74856952077121,132.77112838135477,5.220031894451911,-0.304174882340972,0.0262,0.009800000000000031,0.0426,4000,0.0002964574096562297,0.0002964574096562297,0.0002964574096562297,46_47:0.018309847469591134; 46_45:0.026008510215217023,46_47:940; 46_45:940
47,95.71981461447444,49.763514236217674,5.369645594590317,-0.3017349480846326,0.01639999999999997,0.02100000000000002,0.0118,4000,0.0004185130678711704,0.0004185130678711704,0.0004185130678711704,undefined,undefined
48,160.24251925861213,118.92645537764422,5.042855148919803,-0.30576248822304464,0.06279999999999997,0.10140000000000005,0.0242,4000,0.0010558832042168386,0.0010558832042168386,0.0010558832042168386,48_47:0.0415574620008492; 48_49:0.01781701962932164,48_47:940; 48_49:460
49,121.24458694023468,97.64924618787714,5.148454395321009,-0.3053069944844609,0.028699999999999948,0.0278,0.02959999999999996,4000,0.0005118874811754277,0.0005118874811754277,0.0005118874811754277,undefined,undefined
50,215.9865183500374,16.86810091279723,5.070963509196211,-0.3057750505499329,0.015199999999999991,0.0108,0.01959999999999995,4000,0.00024321834897370902,0.00024321834897370902,0.00024321834897370902,50_49:0.008306685676063352,50_49:460
51,139.69393146602815,149.3451552708661,4.914051128792341,-0.3079660761748167,0.10139999999999993,0.0978,0.105,4000,0.00015205404589119847,0.00015205404589119847,0.00015205404589119847,51_50:0.006316747325533334,51_50:460
52,83.99644163913854,97.8498269576079,5.3649955821898825,-0.30044977457403194,0.026100000000000012,0.0322,0.020000000000000018,4000,0.0029878078132120215,0.0029878078132120215,0.0029878078132120215,52_56:0.030846799467541736; 52_37:0.02406288629200029,52_56:460; 52_37:460
53,240.9040385058544,202.54983737725394,5.074452705718621,-0.3052511328138923,0.010499999999999954,0.0126,0.008399999999999963,4000,0.00018090066264225322,0.00018090066264225322,0.00018090066264225322,53_41:0.0053837117281373414,53_41:460
54,224.68688306598645,174.9848869643698,5.126813612995182,-0.3044779129761831,0.040100000000000025,0.0404,0.03979999999999995,4000,0.00017769251391605185,0.00017769251391605185,0.00017769251391605185,54_64:0.006672471213039904; 54_45:0.010904529452629375,54_64:460; 54_45:460
55,63.8689929537506,36.60544030239019,5.27118569407685,-0.3032763331040358,0.016199999999999992,0.025599999999999956,0.0068,4000,0.0008159366861561208,0.0008159366861561208,0.0008159366861561208,55_68:0.02382369751081506; 55_49:0.012927178456156402,55_68:460; 55_49:460
56,141.17947344354914,67.64555314686935,5.095958657238047,-0.30564257393670535,0.03079999999999994,0.04139999999999999,0.0202,4000,0.00023433235710292087,0.00023433235710292087,0.00023433235710292087,56_57:0.009161064615895359,56_57:460
57,189.52513812605716,329.13043706807633,4.92584505221395,-0.3074875842721333,0.016100000000000003,0.0206,0.011600000000000055,4000,0.0004775826394227662,0.0004775826394227662,0.0004775826394227662,57_58:0.01891079017648359,57_58:460
58,200.0774550683777,224.06266715943477,5.009314687295598,-0.3075458356243641,0.011199999999999988,0.0186,0.0038000000000000256,4000,0.00045671863943945234,0.00045671863943945234,0.00045671863943945234,58_71:0.01192659631010351; 58_59:0.012532799705151976,58_71:460; 58_59:460
59,142.52925552651513,142.87746401108714,5.1197699472968035,-0.30485983269542327,0.010499999999999954,0.0142,0.006800000000000028,4000,0.00044357998256032183,0.00044357998256032183,0.00044357998256032183,undefined,undefined
60,163.71620261438758,148.54535722928566,5.214854290025519,-0.30377721484435294,0.09489999999999998,0.1036,0.08620000000000005,4000,0.00037984449978849326,0.00037984449978849326,0.00037984449978849326,60_59:0.010901655386439835; 60_53:0.00940751063468484; 60_61:0.010419446984210712,60_59:460; 60_53:460; 60_61:460
61,184.64721832414438,45.595832241300926,5.172308586958222,-0.29225208592658347,0.11180000000000001,0.115,0.10860000000000003,4000,0.0002506272265072686,0.0002506272265072686,0.0002506272265072686,undefined,undefined
62,151.38699513971645,55.42323649095313,5.0415112129770305,-0.3062518169414769,0.016900000000000026,0.016800000000000037,0.017,4000,0.0002064635953717719,0.0002064635953717719,0.0002064635953717719,62_63:0.009028161359169756; 62_61:0.007917627771808378,62_63:364; 62_61:460
63,99.75425605754025,43.6812951817906,5.189938282606523,-0.3136995182184117,0.03590000000000004,0.04420000000000002,0.0276,4000,0.0007159630396510495,0.0007159630396510495,0.0007159630396510495,undefined,undefined
64,122.00668585523368,117.47089195335506,5.2245789862387895,-0.30441299234312613,0.036900000000000044,0.051,0.022800000000000042,4000,0.0013164432291404504,0.0013164432291404504,0.0013164432291404504,64_63:0.022077505816086,64_63:460
65,166.19183538943335,53.00697414525021,5.27194263097648,-0.3025398263815699,0.011500000000000066,0.01319999999999999,0.0098,4000,0.0004193674604506935,0.0004193674604506935,0.0004193674604506935,65_66:0.01721023999935789; 65_64:0.01222796072249524,65_66:460; 65_64:460
66,192.10072071040221,73.89305895736389,5.071587194139697,-0.3059749752436012,0.018100000000000005,0.0256,0.010600000000000054,4000,0.0005492343794063016,0.0005492343794063016,0.0005492343794063016,66_73:0.026369014565402416,66_73:460
67,87.56732013282402,110.3949730981283,5.319144951458275,-0.3029821205381753,0.1271,0.1202,0.134,4000,0.001292678056886745,0.001292678056886745,0.001292678056886745,67_68:0.05490004380267238; 67_66:0.0313048211679012,67_68:460; 67_66:460
68,94.29763859894737,92.25009196791906,5.224167916018872,-0.30256695991213484,0.053100000000000036,0.0792,0.027000000000000024,4000,0.0032717890353875893,0.0032717890353875893,0.0032717890353875893,68_69:0.07345139965885705,68_69:460
69,122.4763902453157,47.24116492593274,5.146125365300401,-0.30370526767250344,0.0413,0.06040000000000001,0.0222,4000,0.0038148446979570185,0.0038148446979570185,0.0038148446979570185,undefined,undefined
70,73.87722790478102,69.81649447058207,5.326540105971763,-0.3012282285505546,0.01629999999999998,0.020199999999999996,0.0124,4000,0.0002638733451435494,0.0002638733451435494,0.0002638733451435494,70_69:0.03558565113745821; 70_74:0.014418537222826017,70_69:460; 70_74:460
71,207.66712147843316,268.75773440274895,5.154903423894383,-0.30511262038090686,0.03939999999999999,0.04179999999999995,0.037,4000,0.00038241549336912457,0.00038241549336912457,0.00038241549336912457,undefined,undefined
72,199.4254584601784,148.3699857944267,5.305671540141464,-0.3021441719291235,0.24209999999999998,0.0354,0.4488,4000,0.0003995700944032372,0.0003995700944032372,0.0003995700944032372,72_81:0.006701321288505396; 72_62:0.009740445642136192,72_81:460; 72_62:460
