#time	observable	value
6.7 	ideal_proj	9.11771652078511e-05

6.75 	ideal_proj	9.32538924999338e-05

6.8 	ideal_proj	9.46866798946898e-05

6.85 	ideal_proj	9.54432720082749e-05

6.9 	ideal_proj	9.31297339445408e-05

6.95 	ideal_proj	9.02018385086844e-05

7 	ideal_proj	8.67238542073949e-05

7.05 	ideal_proj	8.27698277973656e-05

7.1 	ideal_proj	7.84211465760092e-05

7.15 	ideal_proj	7.37639884913492e-05

7.2 	ideal_proj	6.88867043189631e-05

7.25 	ideal_proj	6.38772448833249e-05

7.3 	ideal_proj	5.88207528855686e-05

7.35 	ideal_proj	5.379734095644e-05

7.4 	ideal_proj	4.88802232432409e-05

7.45 	ideal_proj	4.41341409696976e-05

7.5 	ideal_proj	3.96142643947304e-05

7.55 	ideal_proj	3.53654369685427e-05

7.6 	ideal_proj	3.14218045240146e-05

7.65 	ideal_proj	2.78069436568655e-05

7.7 	ideal_proj	2.45342189729832e-05

7.75 	ideal_proj	2.160752618276e-05

7.8 	ideal_proj	1.90222275236889e-05

7.85 	ideal_proj	1.67663162446056e-05

7.9 	ideal_proj	1.48216878076976e-05

7.95 	ideal_proj	1.31654648366807e-05

8 	ideal_proj	1.17713271900129e-05

8.05 	ideal_proj	1.06107939798594e-05

8.1 	ideal_proj	9.65440009449185e-06

8.15 	ideal_proj	8.87274933215018e-06

8.2 	ideal_proj	8.23741270367725e-06

8.25 	ideal_proj	7.72165036695718e-06

8.3 	ideal_proj	7.30096853915021e-06

8.35 	ideal_proj	7.53430127007078e-06

8.4 	ideal_proj	7.71330108068389e-06

8.45 	ideal_proj	7.83342830581007e-06

8.5 	ideal_proj	7.89148393437289e-06

8.55 	ideal_proj	7.88575183999784e-06

8.6 	ideal_proj	7.81610124240248e-06

8.65 	ideal_proj	7.68402727758627e-06

8.7 	ideal_proj	7.49263558850835e-06

8.75 	ideal_proj	7.24655968124336e-06

8.8 	ideal_proj	6.9518255950596e-06

8.85 	ideal_proj	6.61566194365302e-06

8.9 	ideal_proj	6.24625634266468e-06

8.95 	ideal_proj	5.85248895877205e-06

9 	ideal_proj	5.443626014889e-06

9.05 	ideal_proj	5.0290133133382e-06

9.1 	ideal_proj	4.61775931324841e-06

9.15 	ideal_proj	4.21844550543607e-06

9.2 	ideal_proj	3.838854333018e-06

9.25 	ideal_proj	3.48573516152046e-06

9.3 	ideal_proj	3.16462312662941e-06

9.35 	ideal_proj	2.87970510065035e-06

9.4 	ideal_proj	2.633746505485e-06

9.45 	ideal_proj	2.42807490418153e-06

9.5 	ideal_proj	2.26262078660275e-06

