#time	operator	index	value
0	X	1	0.996238052845
0	Y	1	-0.00756044127047055
0	Z	1	-0.029369592666626
0	X	3	0.990946412086486
0	Y	3	0.0181377027183771
0	Z	3	-0.0058218240737913
0	X	5	0.987423300743102
0	Y	5	0.0158655960112814
0	Z	5	-0.0339420437812801
0	X	7	0.988046586513518
0	Y	7	-0.00961585529148581
0	Z	7	-0.0344285368919373
0	X	9	0.986390352249145
0	Y	9	-0.00523382192477584
0	Z	9	-0.051022112369537
0	X	11	0.920938909053801
0	Y	11	0.0970660522580144
0	Z	11	-0.0995036363601686
0	X	13	0.942525565624235
0	Y	13	0.0321192406117915
0	Z	13	0.00383079051971433
0	X	15	0.984098136425017
0	Y	15	-0.0197987370193005
0	Z	15	-0.036232531070709
0	X	17	0.974462389945982
0	Y	17	0.0047402046620846
0	Z	17	-0.0220273733139038
0	X	19	0.98537254333496
0	Y	19	0.00794902443885796
0	Z	19	-0.00477182865142848
0	X	21	0.987502217292785
0	Y	21	0.00477619655430316
0	Z	21	-0.00690972805023122
0	X	23	0.987314641475676
0	Y	23	0.0193435717374086
0	Z	23	-0.00642955303192106

0.05	X	1	0.995364263200671
0.05	Y	1	-0.0293979757130386
0.05	Z	1	-0.0290374410429103
0.05	X	3	0.99065426608138
0.05	Y	3	-0.00178402371860897
0.05	Z	3	-0.00553717976784355
0.05	X	5	0.984472708676558
0.05	Y	5	-0.0437334620083598
0.05	Z	5	-0.0337079775007085
0.05	X	7	0.987321492386551
0.05	Y	7	-0.0286678431682002
0.05	Z	7	-0.0342253642150436
0.05	X	9	0.982908882365701
0.05	Y	9	-0.0607939865487491
0.05	Z	9	-0.0504944725469454
0.05	X	11	0.922341198145752
0.05	Y	11	0.0780740779049333
0.05	Z	11	-0.0991868339958063
0.05	X	13	0.942278857489669
0.05	Y	13	0.0228487119010086
0.05	Z	13	0.00405112623043997
0.05	X	15	0.981931939778875
0.05	Y	15	-0.0557274658037911
0.05	Z	15	-0.0355750560899044
0.05	X	17	0.973888967633058
0.05	Y	17	-0.0118198011269748
0.05	Z	17	-0.0217308117349062
0.05	X	19	0.982911638629735
0.05	Y	19	-0.0165219736323662
0.05	Z	19	-0.00446758215894996
0.05	X	21	0.986818349802828
0.05	Y	21	-0.0142322188332726
0.05	Z	21	-0.00652823708050828
