#time	observable	value
6.7 	ideal_proj	1.0903042955896e-07

6.75 	ideal_proj	1.05192211586758e-07

6.8 	ideal_proj	1.01270812282806e-07

6.85 	ideal_proj	9.74548776671929e-08

6.9 	ideal_proj	9.39147944196092e-08

6.95 	ideal_proj	9.07893114920305e-08

7 	ideal_proj	8.81747173247835e-08

7.05 	ideal_proj	8.61175028144919e-08

7.1 	ideal_proj	8.46112148584801e-08

7.15 	ideal_proj	8.35978009095537e-08

7.2 	ideal_proj	8.29733837676182e-08

7.25 	ideal_proj	8.25979233281684e-08

7.3 	ideal_proj	8.2308093257015e-08

7.35 	ideal_proj	8.1932087597182e-08

7.4 	ideal_proj	8.13050875281514e-08

7.45 	ideal_proj	8.02842680517863e-08

7.5 	ideal_proj	7.87616579210917e-08

7.55 	ideal_proj	7.6673913909521e-08

7.6 	ideal_proj	7.40083397097104e-08

7.65 	ideal_proj	7.08042503649137e-08

7.7 	ideal_proj	6.71498321295924e-08

7.75 	ideal_proj	6.31748963152004e-08

7.8 	ideal_proj	5.903990076214e-08

7.85 	ideal_proj	5.492247925427e-08

7.9 	ideal_proj	5.10026309967406e-08

7.95 	ideal_proj	4.74478027051593e-08

8 	ideal_proj	4.43992441879581e-08

8.05 	ideal_proj	4.1960815097784e-08

8.1 	ideal_proj	4.01910742257711e-08

8.15 	ideal_proj	3.90993717267471e-08

8.2 	ideal_proj	3.86461515533317e-08

8.25 	ideal_proj	3.87473184242487e-08

8.3 	ideal_proj	3.92822461516217e-08

8.35 	ideal_proj	4.0104542222566e-08

8.4 	ideal_proj	4.1054665462252e-08

8.45 	ideal_proj	4.19731607334277e-08

8.5 	ideal_proj	4.27134259689634e-08

8.55 	ideal_proj	4.31528779021404e-08

8.6 	ideal_proj	4.32016504569846e-08

8.65 	ideal_proj	4.28081917266412e-08

8.7 	ideal_proj	4.19613966400852e-08

8.75 	ideal_proj	4.06892908507587e-08

8.8 	ideal_proj	3.90544993456201e-08

8.85 	ideal_proj	3.71471096257397e-08

8.9 	ideal_proj	3.50757278749475e-08

8.95 	ideal_proj	3.29574128332982e-08

9 	ideal_proj	3.09076931452329e-08

9.05 	ideal_proj	2.9031380409734e-08

9.1 	ideal_proj	2.74148663496424e-08

9.15 	ideal_proj	2.61206453226422e-08

9.2 	ideal_proj	2.51842814527692e-08

9.25 	ideal_proj	2.46138665112111e-08

9.3 	ideal_proj	2.43919365786427e-08

9.35 	ideal_proj	2.44794473922807e-08

9.4 	ideal_proj	2.48211677424946e-08

9.45 	ideal_proj	2.53520710446237e-08

9.5 	ideal_proj	2.60039926709789e-08

9.55 	ideal_proj	2.67117713056542e-08

9.6 	ideal_proj	2.741862383743e-08

9.65 	ideal_proj	2.80801554843931e-08

9.7 	ideal_proj	2.86667850170851e-08

9.75 	ideal_proj	2.91645920551196e-08

9.8 	ideal_proj	2.95746377555689e-08

9.85 	ideal_proj	2.9910975655603e-08

9.9 	ideal_proj	3.0197759427599e-08

9.95 	ideal_proj	3.04658334558593e-08

10 	ideal_proj	3.07491681910685e-08

10.05 	ideal_proj	3.10816372598434e-08

10.1 	ideal_proj	3.14943947876263e-08

10.15 	ideal_proj	3.20140193642996e-08

10.2 	ideal_proj	3.2661656836962e-08

10.25 	ideal_proj	3.34530295585375e-08

10.3 	ideal_proj	3.43992323847863e-08

10.35 	ideal_proj	3.55081173822059e-08

10.4 	ideal_proj	3.67859472706932e-08

10.45 	ideal_proj	3.82390975260672e-08

10.5 	ideal_proj	3.98754594899023e-08

10.55 	ideal_proj	4.17053292492169e-08

10.6 	ideal_proj	4.37416511322835e-08

10.65 	ideal_proj	4.59994837962325e-08

10.7 	ideal_proj	4.84947212061955e-08

10.75 	ideal_proj	5.12422058551346e-08

10.8 	ideal_proj	5.42533621872589e-08

10.85 	ideal_proj	5.7533633019637e-08

10.9 	ideal_proj	6.10799420340153e-08

10.95 	ideal_proj	6.48785071363807e-08

11 	ideal_proj	6.89032347721557e-08

11.05 	ideal_proj	7.31148253937511e-08

11.1 	ideal_proj	7.74608239311383e-08

11.15 	ideal_proj	8.18765796184288e-08

11.2 	ideal_proj	8.62871647253155e-08

11.25 	ideal_proj	9.0610016683007e-08

11.3 	ideal_proj	9.47582543174246e-08

11.35 	ideal_proj	9.86443812893433e-08

11.4 	ideal_proj	1.02184087911649e-07

11.45 	ideal_proj	1.05300003458759e-07

11.5 	ideal_proj	1.07925010879438e-07

11.55 	ideal_proj	1.10005038741545e-07

11.6 	ideal_proj	1.11501145324597e-07

11.65 	ideal_proj	1.12390712813167e-07

11.7 	ideal_proj	1.12667837264718e-07

11.75 	ideal_proj	1.12342914326954e-07

11.8 	ideal_proj	1.11441388148227e-07

11.85 	ideal_proj	1.10001976200744e-07

11.9 	ideal_proj	1.08074417895949e-07

11.95 	ideal_proj	1.05716860513763e-07

12 	ideal_proj	1.02993227973095e-07

12.05 	ideal_proj	9.9970620915646e-08

12.1 	ideal_proj	9.67168468673241e-08

12.15 	ideal_proj	9.32983450939229e-08

12.2 	ideal_proj	8.97784812858541e-08

12.25 	ideal_proj	8.62162163264315e-08

12.3 	ideal_proj	8.2665307600133e-08

12.35 	ideal_proj	7.91739117453762e-08

12.4 	ideal_proj	7.57845381365998e-08

12.45 	ideal_proj	7.2534396575579e-08

12.5 	ideal_proj	6.94560097690134e-08

12.55 	ideal_proj	6.65779282151191e-08

12.6 	ideal_proj	6.39256490036051e-08

12.65 	ideal_proj	6.15225991899401e-08

12.7 	ideal_proj	5.93909376061308e-08

12.75 	ideal_proj	5.75524387903627e-08

12.8 	ideal_proj	5.60292270166849e-08

12.85 	ideal_proj	5.48442261863653e-08

12.9 	ideal_proj	5.40215696726643e-08

12.95 	ideal_proj	5.35867793811304e-08

13 	ideal_proj	5.35666672201248e-08

13.05 	ideal_proj	5.39891724183074e-08

13.1 	ideal_proj	5.48829973504119e-08

13.15 	ideal_proj	5.62770822294091e-08

13.2 	ideal_proj	5.82000845081431e-08

13.25 	ideal_proj	6.06798050383439e-08

13.3 	ideal_proj	6.37426074522414e-08

13.35 	ideal_proj	6.74129914025845e-08

13.4 	ideal_proj	7.17134495745569e-08

13.45 	ideal_proj	7.66641411708206e-08

13.5 	ideal_proj	8.22833118066362e-08

13.55 	ideal_proj	8.85874288358233e-08

13.6 	ideal_proj	9.55922111835708e-08

13.65 	ideal_proj	1.03313402998813e-07

13.7 	ideal_proj	1.11767762495842e-07

13.75 	ideal_proj	1.20974494952892e-07

13.8 	ideal_proj	1.3095635105271e-07

13.85 	ideal_proj	1.41740750672508e-07

13.9 	ideal_proj	1.53360621280846e-07

13.95 	ideal_proj	1.6585486851062e-07

14 	ideal_proj	1.79268473054721e-07

14.05 	ideal_proj	1.93651614354225e-07

14.1 	ideal_proj	2.0905842623616e-07

14.15 	ideal_proj	2.25545176006194e-07

14.2 	ideal_proj	2.43166984061802e-07

14.25 	ideal_proj	2.6197454209092e-07

14.3 	ideal_proj	2.82010567565623e-07

14.35 	ideal_proj	3.03304486408233e-07

14.4 	ideal_proj	3.25868250894331e-07

14.45 	ideal_proj	3.49692584383825e-07

14.5 	ideal_proj	3.74741445213953e-07

14.55 	ideal_proj	4.00949352328419e-07

14.6 	ideal_proj	4.28219710180259e-07

14.65 	ideal_proj	4.56422011597935e-07

14.7 	ideal_proj	4.85393046047293e-07

14.75 	ideal_proj	5.14939538364776e-07

14.8 	ideal_proj	5.44840380698927e-07

14.85 	ideal_proj	5.74852957560239e-07

14.9 	ideal_proj	6.0472072390751e-07

14.95 	ideal_proj	6.34180499886015e-07

15 	ideal_proj	6.62972845843552e-07

15.05 	ideal_proj	6.90852541019058e-07

15.1 	ideal_proj	7.17598259759053e-07

15.15 	ideal_proj	7.43023234611161e-07

15.2 	ideal_proj	7.66984395898242e-07

15.25 	ideal_proj	7.89389611243967e-07

