#time	observable	value
0 	ideal_proj	0.0296402960723095

0.05 	ideal_proj	0.0296226369939251

0.1 	ideal_proj	0.0295923802838868

0.15 	ideal_proj	0.0316502667767321

0.2 	ideal_proj	0.0316353616608056

0.25 	ideal_proj	0.0316579791061494

0.3 	ideal_proj	0.031640946242711

0.35 	ideal_proj	0.0316114634287965

0.4 	ideal_proj	0.0294988782522563

0.45 	ideal_proj	0.0294881773432137

0.5 	ideal_proj	0.0294650465170938

0.55 	ideal_proj	0.0300769113218973

0.6 	ideal_proj	0.0301784671316377

0.65 	ideal_proj	0.0303047484326121

0.7 	ideal_proj	0.000333832788830276

0.75 	ideal_proj	0.000347913439976909

0.8 	ideal_proj	0.000361535474407987

0.85 	ideal_proj	0.000374295864985913

0.9 	ideal_proj	0.000387438278178739

0.95 	ideal_proj	0.030045925569178

1 	ideal_proj	0.0299028632588035

1.05 	ideal_proj	0.0297851793100748

1.1 	ideal_proj	0.116609147329002

1.15 	ideal_proj	0.116303807061677

1.2 	ideal_proj	0.115954939670654

1.25 	ideal_proj	0.115563000564606

1.3 	ideal_proj	0.115128493040849

1.35 	ideal_proj	0.114651967503843

1.4 	ideal_proj	0.114134020505129

1.45 	ideal_proj	0.113575293864462

1.5 	ideal_proj	0.112976473628024

1.55 	ideal_proj	0.112338289002627

1.6 	ideal_proj	0.111661511203625

1.65 	ideal_proj	0.11094695229765

1.7 	ideal_proj	0.110195463936349

1.75 	ideal_proj	0.109407936063879

1.8 	ideal_proj	0.10858529556791

1.85 	ideal_proj	0.107728504881804

1.9 	ideal_proj	0.106838560540199

1.95 	ideal_proj	0.10591649169041

2 	ideal_proj	0.104963358561983

2.05 	ideal_proj	0.10398025089696

2.1 	ideal_proj	0.102968286343288

2.15 	ideal_proj	0.101928608814003

2.2 	ideal_proj	0.100862386814831

2.25 	ideal_proj	0.0997708117427706

2.3 	ideal_proj	0.0986550961584462

2.35 	ideal_proj	0.0975164720349498

2.4 	ideal_proj	0.0963561889857245

2.45 	ideal_proj	0.095175512476449

2.5 	ideal_proj	0.093975722014252

2.55 	ideal_proj	0.0927581093370701

2.6 	ideal_proj	0.0915239765871007

2.65 	ideal_proj	0.0902746344660533

2.7 	ideal_proj	0.0890114004098005

2.75 	ideal_proj	0.0877355967499954

2.8 	ideal_proj	0.0864485488622155

2.85 	ideal_proj	0.0851515833496256

2.9 	ideal_proj	0.0838460262191402

2.95 	ideal_proj	0.0825332010451723

3 	ideal_proj	0.0812144271909227

3.05 	ideal_proj	0.0798910180206855

3.1 	ideal_proj	0.0785642791201724

3.15 	ideal_proj	0.0772355065423843

3.2 	ideal_proj	0.075905985124953

3.25 	ideal_proj	0.0745769867362293

3.3 	ideal_proj	0.0732497686478701

3.35 	ideal_proj	0.0719255719001985

3.4 	ideal_proj	0.0706056196539273

3.45 	ideal_proj	0.0692911156656706

3.5 	ideal_proj	0.06798324276105

3.55 	ideal_proj	0.0666831612941323

3.6 	ideal_proj	0.065392007749749

3.65 	ideal_proj	0.0641108933441011

3.7 	ideal_proj	0.0628409026110628

3.75 	ideal_proj	0.0615830921504845

3.8 	ideal_proj	0.0603384893667356

3.85 	ideal_proj	0.0591080912339292

3.9 	ideal_proj	0.057892863135311

3.95 	ideal_proj	0.0566937378416411

4 	ideal_proj	0.0555116143616488

4.05 	ideal_proj	0.054347357038614

4.1 	ideal_proj	0.0532017946298038

4.15 	ideal_proj	0.0520757193617843

4.2 	ideal_proj	0.0509698862096445

4.25 	ideal_proj	0.0498850121598214

4.3 	ideal_proj	0.048821775446905

4.35 	ideal_proj	0.0477808150267912

4.4 	ideal_proj	0.0467627300293613

4.45 	ideal_proj	0.0457680791896122

4.5 	ideal_proj	0.0447973805222801

4.55 	ideal_proj	0.0438511109396357

4.6 	ideal_proj	0.0429297059515879

4.65 	ideal_proj	0.0420335594581798

4.7 	ideal_proj	0.0411630236217518

4.75 	ideal_proj	0.0403184087114655

4.8 	ideal_proj	0.0394999831552777

4.85 	ideal_proj	0.0387079735841779

4.9 	ideal_proj	0.0379425648751349

4.95 	ideal_proj	0.0372039003879223

5 	ideal_proj	0.0364920822014442

5.05 	ideal_proj	0.0358071713690452

5.1 	ideal_proj	0.0351491883369907

5.15 	ideal_proj	0.0345181133702496

5.2 	ideal_proj	0.0339138870085786

5.25 	ideal_proj	0.0333364106073998

5.3 	ideal_proj	0.032785547023892

5.35 	ideal_proj	0.0322611211701656

5.4 	ideal_proj	0.031762920812092

5.45 	ideal_proj	0.0312906973359801

5.5 	ideal_proj	0.0308441665456504

5.55 	ideal_proj	0.0304230095316566

5.6 	ideal_proj	0.0300268736702836

5.65 	ideal_proj	0.0296553735258981

5.7 	ideal_proj	0.0293080918842893

5.75 	ideal_proj	0.0289845808761598

5.8 	ideal_proj	0.0286843630201681

