#time	quantity	value
1.95 	OSEE_center	1.3467658537132
1.95 	max_bond_dim	10
1.95 	duration_ms	282

2 	tr_rho	1
2 	S_2	2.23856373366565
2 	OSEE_center	1.34302272276892
2 	max_bond_dim	5
2 	duration_ms	290

2.05 	tr_rho	1
2.05 	S_2	2.24042763426578
2.05 	OSEE_center	1.33909487940148
2.05 	max_bond_dim	5
2.05 	duration_ms	297

2.1 	tr_rho	1
2.1 	S_2	2.24228874854717
2.1 	OSEE_center	1.33498304151841
2.1 	max_bond_dim	10
2.1 	duration_ms	304

2.15 	tr_rho	1
2.15 	S_2	2.24414699336305
2.15 	OSEE_center	1.3306879644854
2.15 	max_bond_dim	5
2.15 	duration_ms	312

2.2 	tr_rho	1
2.2 	S_2	2.24600228591405
2.2 	OSEE_center	1.32621044117498
2.2 	max_bond_dim	5
2.2 	duration_ms	319

2.25 	tr_rho	1
2.25 	S_2	2.24785454377618
2.25 	OSEE_center	1.32155130202042
2.25 	max_bond_dim	10
2.25 	duration_ms	325

2.3 	tr_rho	1
2.3 	S_2	2.24970368492996
2.3 	OSEE_center	1.3167114150755
2.3 	max_bond_dim	5
2.3 	duration_ms	333

2.35 	tr_rho	1
2.35 	S_2	2.25154962779064
2.35 	OSEE_center	1.31169168607972
2.35 	max_bond_dim	5
2.35 	duration_ms	340

2.4 	tr_rho	1
2.4 	S_2	2.25339229123965
2.4 	OSEE_center	1.30649305852954
2.4 	max_bond_dim	10
2.4 	duration_ms	347

2.45 	tr_rho	1
2.45 	S_2	2.25523159465715
2.45 	OSEE_center	1.3011165137553
2.45 	max_bond_dim	5
2.45 	duration_ms	355

2.5 	tr_rho	1
2.5 	S_2	2.25706745795569
2.5 	OSEE_center	1.29556307100411
2.5 	max_bond_dim	5
2.5 	duration_ms	361

2.55 	tr_rho	1
2.55 	S_2	2.25889980161515
2.55 	OSEE_center	1.28983378752872
2.55 	max_bond_dim	9
2.55 	duration_ms	368

2.6 	tr_rho	1
2.6 	S_2	2.26072854671869
2.6 	OSEE_center	1.28392975868223
2.6 	max_bond_dim	5
2.6 	duration_ms	376

2.65 	tr_rho	1
2.65 	S_2	2.26255361498995
2.65 	OSEE_center	1.27785211801887
2.65 	max_bond_dim	5
2.65 	duration_ms	383

2.7 	tr_rho	1
2.7 	S_2	2.26437492883134
2.7 	OSEE_center	1.27160203740062
