#time	quantity	value
1.9 	S_2	8.93153266225406
1.9 	OSEE_center	2.60674204372606
1.9 	max_bond_dim	67
1.9 	duration_ms	2243486

1.95 	tr_rho	1.00000049615705
1.95 	S_2	8.94147523735844
1.95 	OSEE_center	2.59511971899846
1.95 	max_bond_dim	75
1.95 	duration_ms	2318973

2 	tr_rho	0.999999999999999
2 	S_2	8.95140380803256
2 	OSEE_center	2.58304687050735
2 	max_bond_dim	65
2 	duration_ms	2413211

2.05 	tr_rho	1
2.05 	S_2	8.96131621095348
2.05 	OSEE_center	2.57052671936149
2.05 	max_bond_dim	67
2.05 	duration_ms	2488280

2.1 	tr_rho	1.00000046338978
2.1 	S_2	8.97121328583802
2.1 	OSEE_center	2.55756266403959
2.1 	max_bond_dim	78
2.1 	duration_ms	2559932

2.15 	tr_rho	1
2.15 	S_2	8.98109583403862
2.15 	OSEE_center	2.54415828190095
2.15 	max_bond_dim	63
2.15 	duration_ms	2645227

2.2 	tr_rho	0.999999999999999
2.2 	S_2	8.99096190368644
2.2 	OSEE_center	2.53031732988141
2.2 	max_bond_dim	64
2.2 	duration_ms	2715350

2.25 	tr_rho	1.00000033435908
2.25 	S_2	9.00081235222605
2.25 	OSEE_center	2.51604374429922
2.25 	max_bond_dim	79
2.25 	duration_ms	2787552

2.3 	tr_rho	1
2.3 	S_2	9.01064780684618
2.3 	OSEE_center	2.50134163985123
2.3 	max_bond_dim	66
2.3 	duration_ms	2872790

2.35 	tr_rho	1
2.35 	S_2	9.02046691556125
2.35 	OSEE_center	2.48621530777732
2.35 	max_bond_dim	67
2.35 	duration_ms	2943595

2.4 	tr_rho	1.00000028929402
2.4 	S_2	9.03027035925538
2.4 	OSEE_center	2.4706692130975
2.4 	max_bond_dim	76
2.4 	duration_ms	3013084

2.45 	tr_rho	1
2.45 	S_2	9.04005875382867
2.45 	OSEE_center	2.45470799111429
2.45 	max_bond_dim	67
2.45 	duration_ms	3102776

2.5 	tr_rho	1
2.5 	S_2	9.04983100128232
