#time	quantity	value
1.95 	max_bond_dim	10
1.95 	duration_ms	282

2 	tr_rho	1
2 	S_2	2.23580121636722
2 	OSEE_center	0.312179883264483
2 	max_bond_dim	5
2 	duration_ms	290

2.05 	tr_rho	1
2.05 	S_2	2.23729152564499
2.05 	OSEE_center	0.323934270001119
2.05 	max_bond_dim	6
2.05 	duration_ms	296

2.1 	tr_rho	1.00000000000001
2.1 	S_2	2.23878487363839
2.1 	OSEE_center	0.335775536169049
2.1 	max_bond_dim	10
2.1 	duration_ms	303

2.15 	tr_rho	1
2.15 	S_2	2.2402813111591
2.15 	OSEE_center	0.347698420551112
2.15 	max_bond_dim	6
2.15 	duration_ms	311

2.2 	tr_rho	1
2.2 	S_2	2.24178088615298
2.2 	OSEE_center	0.359697767997611
2.2 	max_bond_dim	6
2.2 	duration_ms	318

2.25 	tr_rho	1.00000000000002
2.25 	S_2	2.24328364368754
2.25 	OSEE_center	0.371768524833213
2.25 	max_bond_dim	10
2.25 	duration_ms	325

2.3 	tr_rho	1
2.3 	S_2	2.24478962594248
2.3 	OSEE_center	0.383905734585835
2.3 	max_bond_dim	6
2.3 	duration_ms	333

2.35 	tr_rho	1
2.35 	S_2	2.24629887220229
2.35 	OSEE_center	0.396104534009523
2.35 	max_bond_dim	6
2.35 	duration_ms	340

2.4 	tr_rho	1
2.4 	S_2	2.24781141885243
2.4 	OSEE_center	0.408360149376256
2.4 	max_bond_dim	9
2.4 	duration_ms	347

2.45 	tr_rho	1
2.45 	S_2	2.24932729937771
2.45 	OSEE_center	0.420667893014451
2.45 	max_bond_dim	5
2.45 	duration_ms	355

2.5 	tr_rho	1
2.5 	S_2	2.25084654436342
2.5 	OSEE_center	0.433023160074308
2.5 	max_bond_dim	6
2.5 	duration_ms	362

2.55 	tr_rho	1
2.55 	S_2	2.25236918149921
2.55 	OSEE_center	0.445421425501852
2.55 	max_bond_dim	10
2.55 	duration_ms	369

2.6 	tr_rho	1
2.6 	S_2	2.25389523558552
2.6 	OSEE_center	0.457858241205838
2.6 	max_bond_dim	6
2.6 	duration_ms	377

2.65 	tr_rho	1
2.65 	S_2	2.25542472854251
2.65 	OSEE_center	0.470329233402841
2.65 	max_bond_dim	6
2.65 	duration_ms	384

2.7 	tr_rho	1
2.7 	S_2	2.2569576794216
2.7 	OSEE_center	0.482830100127511
2.7 	max_bond_dim	9
2.7 	duration_ms	391

2.75 	tr_rho	1
2.75 	S_2	2.2584941044194
2.75 	OSEE_center	0.495356608896073
2.75 	max_bond_dim	5
2.75 	duration_ms	399

2.8 	tr_rho	1
2.8 	S_2	2.26003401689403
2.8 	OSEE_center	0.507904594512411
2.8 	max_bond_dim	6
2.8 	duration_ms	406

2.85 	tr_rho	1
2.85 	S_2	2.2615774273839
2.85 	OSEE_center	0.520469957006851
2.85 	max_bond_dim	10
2.85 	duration_ms	413

2.9 	tr_rho	1
2.9 	S_2	2.26312434362864
2.9 	OSEE_center	0.53304865969881
2.9 	max_bond_dim	6
2.9 	duration_ms	422

2.95 	tr_rho	1
2.95 	S_2	2.26467477059247
2.95 	OSEE_center	0.545636727375187
2.95 	max_bond_dim	6
2.95 	duration_ms	429

