#time	operator	index	value
0.5	X	3	0.939784505013433
0.5	Y	3	0.0164642811968724
0.5	Z	3	-0.0349551922435476
0.5	X	5	0.967414883577544
0.5	Y	5	-0.0726900911231347
0.5	Z	5	0.00270480029191375

0.55	X	1	-0.0342059317474873
0.55	Y	1	0.011986622218554
0.55	Z	1	-0.0047485715701267
0.55	X	3	-0.00446003587001973
0.55	Y	3	0.0114253488678513
0.55	Z	3	-0.0347499098191845
0.55	X	5	0.966267047728202
0.55	Y	5	-0.0803301274115099
0.55	Z	5	0.00295389472335528

0.6	X	1	-0.0339571422686681
0.6	Y	1	0.0243795764221339
0.6	Z	1	-0.00432776757351958
0.6	X	3	-0.00404916701584214
0.6	Y	3	0.0230211846678752
0.6	Z	3	-0.0345446681032981
0.6	X	5	0.96496431715336
0.6	Y	5	-0.0879460035623808
0.6	Z	5	0.0032029269388106

0.65	X	1	-0.033467493920147
0.65	Y	1	0.0367467407451385
0.65	Z	1	-0.00390713981595124
0.65	X	3	-0.00322950449619687
0.65	Y	3	0.0345774310218629
0.65	Z	3	-0.0343394671056367
0.65	X	5	0.963507266654242
0.65	Y	5	-0.095535073952104
0.65	Z	5	0.00345189695260469

0.7	X	1	-0.0327377682722378
0.7	Y	1	0.0490827498547073
0.7	Z	1	-0.00348668822372936
0.7	X	3	-0.00200323839324507
0.7	Y	3	-0.0460782844831931
0.7	Z	3	0.0341343068097181
0.7	X	5	0.96189651814953
0.7	Y	5	-0.103094705399057
0.7	Z	5	0.00370080478148894

0.75	X	1	-0.0327113343270704
0.75	Y	1	0.0373427226213443
0.75	Z	1	-0.00306641272301444
0.75	X	3	-0.00322620343088063
0.75	Y	3	-0.0345519780929962
0.75	Z	3	0.03432588536385
0.75	X	5	0.960939901066979
0.75	Y	5	-0.110064510169879
0.75	Z	5	0.00394965044096574

0.8	X	1	-0.032909003520997
0.8	Y	1	0.0256192700774359
0.8	Z	1	-0.00264631324011931
0.8	X	3	-0.00404072002014049
0.8	Y	3	-0.0230002331408027
0.8	Z	3	0.0345174259495696
0.8	X	5	0.959838314623171
0.8	Y	5	0.117012700782458
0.8	Z	5	-0.00419843394739545

0.85	X	1	-0.0333302078808909
0.85	Y	1	0.0139174078910547
0.85	Z	1	-0.00222638970126176
0.85	X	3	-0.00444571738276244
0.85	Y	3	-0.0114342222670802
0.85	Z	3	0.0347089285431571
0.85	X	5	0.960020375654649
0.85	Y	5	0.109961010542946
0.85	Z	5	-0.00394761529471298

0.9	X	1	-0.0339742696779822
0.9	Y	1	0.00224213376713734
0.9	Z	1	-0.00180664203277486
0.9	X	3	-0.00444035880357905
0.9	Y	3	0.000116629921127868
0.9	Z	3	0.0349003931523776
0.9	X	5	0.960056269682691
0.9	Y	5	0.102904745615048
0.9	Z	5	-0.00369685928943776

0.95	X	1	-0.0348404019703798
0.95	Y	1	-0.00940157496390166
0.95	Z	1	-0.00138707016099946
0.95	X	3	-0.00402602913738627
0.95	Y	3	-0.0116364084727704
0.95	Z	3	-0.0350918197847063
0.95	X	5	0.959946058969319
0.95	Y	5	0.0958464201979701
0.95	Z	5	-0.00344616591547282

1	X	1	-0.0338828582977171
1	Y	1	0.00289186196222902
1	Z	1	-0.000967674012312605
1	X	3	-0.00443634371983376
1	Y	3	-0.000121354581089916
1	Z	3	-0.0348865102602986
1	X	5	0.960666895474939
1	Y	5	0.0882126611652104
1	Z	5	-0.00319553515721506

1.05	X	1	-0.0326877677491385
1.05	Y	1	0.0151470682748677
1.05	Z	1	-0.000548453513106921
1.05	X	3	-0.00443796257054627
1.05	Y	3	0.0113948880590374
1.05	Z	3	-0.0346812414583599
1.05	X	5	0.961231924236726
1.05	Y	5	0.0805677225753013
1.05	Z	5	-0.00294496699895531

1.1	X	1	-0.0312561933357371
1.1	Y	1	0.0273587622126088
1.1	Z	1	-0.000129408589852017
1.1	X	3	-0.000456371601954322
1.1	Y	3	-1.67159532891208e-05
1.1	Z	3	-0.0344760133724283
1.1	X	5	-0.0317478622935923
1.1	Y	5	0.0212225655685128
1.1	Z	5	0.00269446142487739

1.15	X	1	-0.0295893131570284
1.15	Y	1	0.0395216911962166
1.15	Z	1	0.000289460831023691
1.15	X	3	-0.00101313416321834
1.15	Y	3	-1.44093581383765e-06
1.15	Z	3	-0.0342708259926802
1.15	X	5	-0.0307841046577996
1.15	Y	5	0.0308411073047187
1.15	Z	5	0.00294355843858945

1.2	X	1	-0.0276884196363449
1.2	Y	1	0.0516306343408841
1.2	Z	1	0.000708154823008045
1.2	X	3	-0.00179094174512693
1.2	Y	3	4.53750057372581e-05
1.2	Z	3	-0.0340656793119727
1.2	X	5	-0.0296740285039645
1.2	Y	5	0.0404310876720257
1.2	Z	5	0.00319259323640331

1.25	X	1	-0.0255549186993772
1.25	Y	1	0.0636804049507914
1.25	Z	1	0.00112667345957787
1.25	X	3	-0.00278764056819396
1.25	Y	3	0.000135423347737676
1.25	Z	3	-0.0338605733216978
1.25	X	5	-0.0284182473207063
1.25	Y	5	0.0499898617570444
1.25	Z	5	0.00344156583172694

1.3	X	1	-0.0231903288972716
1.3	Y	1	0.0756658529924775
1.3	Z	1	0.00154501681417806
1.3	X	3	-0.00400055868013389
1.3	Y	3	0.000280277115579568
1.3	Z	3	-0.0336555080139266
1.3	X	5	-0.0270174210565473
1.3	Y	5	0.0595147981755962
1.3	Z	5	0.00369047624114733

1.35	X	1	-0.0205962804740057
1.35	Y	1	0.0875818675472819
1.35	Z	1	0.00196318496018046
1.35	X	3	-0.00542651190560851
1.35	Y	3	0.000491369481733035
1.35	Z	3	-0.033450483385612
1.35	X	5	-0.0254722558496433
1.35	Y	5	0.0690032797609892
1.35	Z	5	0.0039393244776756

1.4	X	1	-0.0177745144039243
1.4	Y	1	0.0994233792418495
1.4	Z	1	0.00238117797104785
1.4	X	3	-0.0070618106544737
1.4	Y	3	0.000779972646670111
1.4	Z	3	-0.0332454994192371
1.4	X	5	-0.0237835037911467
1.4	Y	5	0.0784527038335045
1.4	Z	5	0.00418811056214493

1.45	X	1	-0.0147268813250417
1.45	Y	1	0.111185362645572
1.45	Z	1	0.00279899592005708
1.45	X	3	-0.00890226757510525
1.45	Y	3	0.001157177036431
1.45	Z	3	-0.0330405561108168
1.45	X	5	-0.0219519625178596
1.45	Y	5	0.0878604840211653
1.45	Z	5	0.00443683450719416

1.5	X	1	-0.011455340442504
1.5	Y	1	0.122862838654455
1.5	Z	1	0.00321663888039333
1.5	X	3	-0.0109432060396022
1.5	Y	3	0.00163387085084815
1.5	Z	3	-0.0328356534828165
1.5	X	5	-0.0199784748839099
1.5	Y	5	0.0972240508784104
1.5	Z	5	0.00468549632955553

1.55	X	1	-0.00796195850768971
1.55	Y	1	0.134450876859107
1.55	Z	1	0.00363410692580743
1.55	X	3	-0.0131794694443957
1.55	Y	3	0.00222071999432815
1.55	Z	3	-0.0326307914685322
1.55	X	5	-0.0178639288844448
1.55	Y	5	0.10654085085618
1.55	Z	5	0.00493409604271896

1.6	X	1	-0.0042489084413503
1.6	Y	1	0.145944597823003
1.6	Z	1	0.00405140012909555
1.6	X	3	-0.0156054313067299
1.6	Y	3	0.00292814842131836
1.6	Z	3	-0.032425970086878
1.6	X	5	-0.015609256889967
1.6	Y	5	0.115808350102545
1.6	Z	5	0.00518263366289362

1.65	X	1	-0.000318468220021512
1.65	Y	1	0.157339175429961
1.65	Z	1	0.00446851856363732
1.65	X	3	-0.0182150061473271
1.65	Y	3	0.00376631892890803
1.65	Z	3	-0.032221189331358
1.65	X	5	-0.0132154355566442
1.65	Y	5	0.12502403326519
1.65	Z	5	0.00543110920571512

1.7	X	1	0.00382698044649251
1.7	Y	1	0.168629839121965
