#time	operator	index	value
0.65	Y	1	-0.12515646047261
0.65	Z	1	-0.012181063431465
0.65	X	3	0.887755463226173
0.65	Y	3	-0.20165992411909
0.65	Z	3	-0.0262947194873574
0.65	X	5	0.957376378053936
0.65	Y	5	-0.0956699963270958
0.65	Z	5	-0.000983607206442263

0.7	X	1	0.958204484896529
0.7	Y	1	-0.134281592357211
0.7	Z	1	-0.0117685467125767
0.7	X	3	0.880525261001472
0.7	Y	3	-0.217103769388583
0.7	Z	3	-0.0261043841251945
0.7	X	5	0.954974863415381
0.7	Y	5	-0.10296098326187
0.7	Z	5	-0.000780877778298458

0.75	X	1	0.954107599202245
0.75	Y	1	-0.143320063945614
0.75	Z	1	-0.0113561981182815
0.75	X	3	0.872822928993614
0.75	Y	3	-0.232289643184602
0.75	Z	3	-0.0259140838452041
0.75	X	5	0.952428230598299
0.75	Y	5	-0.110208824084197
0.75	Z	5	-0.000578189407926506

0.8	X	1	0.949782348247713
0.8	Y	1	-0.152266992254872
0.8	Z	1	-0.0109440175726926
0.8	X	3	0.864658552537529
0.8	Y	3	-0.247202313023142
0.8	Z	3	-0.0257238190696356
0.8	X	5	0.949737367526929
0.8	Y	5	-0.117411082516677
0.8	Z	5	-0.000375542090332495

0.85	X	1	0.945231025741821
0.85	Y	1	-0.161117558314712
0.85	Z	1	-0.0105320050146878
0.85	X	3	0.856042754383901
0.85	Y	3	-0.261826954644499
0.85	Z	3	-0.0255335895859619
0.85	X	5	0.946903204815458
0.85	Y	5	-0.124565339778693
0.85	Z	5	-0.000172935814732243

0.9	X	1	0.940456029019129
0.9	Y	1	-0.169867001638079
0.9	Z	1	-0.0101201603783985
0.9	X	3	0.846986676700524
0.9	Y	3	-0.27614917144921
0.9	Z	3	-0.0253433948803425
0.9	X	5	0.943926714564994
0.9	Y	5	-0.131669195219998
0.9	Z	5	2.96294290200291e-05

0.95	X	1	0.935459858675112
0.95	Y	1	-0.17851059867712
0.95	Z	1	-0.00970848358023711
0.95	X	3	0.837501963797468
0.95	Y	3	-0.290155013602042
0.95	Z	3	-0.0251532359370047
0.95	X	5	0.940808912208279
0.95	Y	5	-0.13872026734632
0.95	Z	5	0.000232153645708708

1	X	1	0.930245117784192
1	Y	1	-0.187043706536984
1	Z	1	-0.00929697456695059
1	X	3	0.827600745285108
1	Y	3	-0.30383099686397
1	Z	3	-0.0249631122729524
1	X	5	0.937550854699762
1	Y	5	-0.145716194382046
1	Z	5	0.000434636845118923

1.05	X	1	0.924814508048885
1.05	Y	1	-0.195461748840552
1.05	Z	1	-0.00888563327400603
1.05	X	3	0.817295614544726
1.05	Y	3	-0.31716411929621
1.05	Z	3	-0.0247730228617384
1.05	X	5	0.934153638338543
1.05	Y	5	-0.152654634711861
1.05	Z	5	0.000637079040851443

1.1	X	1	0.919170830504612
1.1	Y	1	-0.203760178237947
1.1	Z	1	-0.00847445960635841
1.1	X	3	0.806599609955791
1.1	Y	3	-0.33014187825808
1.1	Z	3	-0.0245829696867304
1.1	X	5	0.930618402976725
1.1	Y	5	-0.159533268298843
1.1	Z	5	0.000839480229529864

1.15	X	1	0.913316985049509
1.15	Y	1	-0.211934549217876
1.15	Z	1	-0.00806345352237886
1.15	X	3	0.795526197427415
1.15	Y	3	-0.342752287532763
1.15	Z	3	-0.0243929517835578
1.15	X	5	0.926946328607212
1.15	Y	5	-0.16634979696846
1.15	Z	5	0.00104184042656158

1.2	X	1	0.907255964177659
1.2	Y	1	-0.21998049062237
1.2	Z	1	-0.00765261495876098
1.2	X	3	0.784089244662046
1.2	Y	3	-0.354983890509196
1.2	Z	3	-0.0242029672940146
1.2	X	5	0.923138631614831
1.2	Y	5	-0.173101944498376
1.2	Z	5	0.00124415964639254

1.25	X	1	0.900990855667216
1.25	Y	1	-0.227893646553005
1.25	Z	1	-0.00724194380557328
1.25	X	3	0.772303001619834
1.25	Y	3	-0.36682577507888
1.25	Z	3	-0.0240130198216949
1.25	X	5	0.919196572955231
1.25	Y	5	-0.179787458818336
1.25	Z	5	0.00144643788137986

1.3	X	1	0.894524842555597
1.3	Y	1	-0.235669789600311
1.3	Z	1	-0.00683144003624133
1.3	X	3	0.760182083379063
1.3	Y	3	-0.378267589348767
1.3	Z	3	-0.0238231076207242
1.3	X	5	0.915121452076136
1.3	Y	5	-0.186404111768427
1.3	Z	5	0.0016486751507712

1.35	X	1	0.887861194315075
1.35	Y	1	-0.243304747172314
1.35	Z	1	-0.00642110356866404
1.35	X	3	0.747741439271069
1.35	Y	3	-0.389299550222882
1.35	Z	3	-0.0236332306406422
1.35	X	5	0.910914603984429
1.35	Y	5	-0.192949699236517
1.35	Z	5	0.00185087146105381

1.4	X	1	0.881003270997455
1.4	Y	1	-0.250794423332703
1.4	Z	1	-0.00601093433465645
1.4	X	3	0.734996335699301
1.4	Y	3	-0.399912457596229
1.4	Z	3	-0.023443388874918
1.4	X	5	0.906577403626572
1.4	Y	5	-0.199422042761075
1.4	Z	5	0.00205302682078029

1.45	X	1	0.873954519808755
1.45	Y	1	-0.258134800286204
1.45	Z	1	-0.00560093226606339
1.45	X	3	0.72196233146226
1.45	Y	3	-0.410097704381422
1.45	Z	3	-0.0232535823170171
1.45	X	5	0.902111263674846
1.45	Y	5	-0.205818989871066
1.45	Z	5	0.00225514123776406

1.5	X	1	0.866718473290017
1.5	Y	1	-0.265321940221635
1.5	Z	1	-0.00519109729475564
