value,std_dev,unit,chi_sq,verified,variable_name,backend,end_date,device_components,experiment_id
-29677.29496777922,328.892551202845,,1.1637218882421219,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q0,Q1",5bca94ef-b063-4879-b11c-0943b8e964fd
-38392.9693999437,329.9279095540622,,1.1369086977278229,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q5,Q4",5bca94ef-b063-4879-b11c-0943b8e964fd
-28045.703387005415,827.889313685672,,1.461828949649171,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q9,Q8",5bca94ef-b063-4879-b11c-0943b8e964fd
-39082.422217110405,403.2200453672389,,1.1018854406329532,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q23,Q22",5bca94ef-b063-4879-b11c-0943b8e964fd
-39259.52661643561,446.27746994178335,,2.5100117641549406,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q30,Q31",5bca94ef-b063-4879-b11c-0943b8e964fd
-31636.728634573694,353.4102977946915,,1.2182013519001031,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q37,Q38",5bca94ef-b063-4879-b11c-0943b8e964fd
122088.21538191289,561.9173797720566,,1.5088942674331718,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q42,Q41",5bca94ef-b063-4879-b11c-0943b8e964fd
-112510.26596751541,386.1602084276718,,1.1420780884913946,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q46,Q45",5bca94ef-b063-4879-b11c-0943b8e964fd
-31915.77586936779,379.3991644441147,,1.2093699149017778,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q50,Q49",5bca94ef-b063-4879-b11c-0943b8e964fd
-41039.30417262177,344.5876004638245,,1.0708885667565267,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q56,Q57",5bca94ef-b063-4879-b11c-0943b8e964fd
-30697.995695576523,462.3971947403796,,2.4810808384531393,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q60,Q61",5bca94ef-b063-4879-b11c-0943b8e964fd
-32170.307258130993,359.48998177946106,,1.8906580039386662,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q65,Q64",5bca94ef-b063-4879-b11c-0943b8e964fd
-29634.91227442944,385.7042441439619,,1.4713798810306458,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q68,Q69",5bca94ef-b063-4879-b11c-0943b8e964fd
-86415.9518097845,452.45489708974895,,1.3086742173929693,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q78,Q77",5bca94ef-b063-4879-b11c-0943b8e964fd
-28289.921261816242,401.35867036026497,,1.4661371341888565,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q85,Q86",5bca94ef-b063-4879-b11c-0943b8e964fd
-35385.95373822487,319.0876121693087,,0.9383721154275425,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q2,Q1",5bca94ef-b063-4879-b11c-0943b8e964fd
-29012.64830421799,331.9636812078738,,1.054336984283629,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q5,Q6",5bca94ef-b063-4879-b11c-0943b8e964fd
-38043.653506248156,336.84384481083896,,1.3566744399728672,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q10,Q9",5bca94ef-b063-4879-b11c-0943b8e964fd
-31118.9139265476,412.56069723403516,,0.8527904022558913,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q23,Q24",5bca94ef-b063-4879-b11c-0943b8e964fd
-33303.14318294514,396.17309869940203,,1.036341959231737,False,zz,ibm_cusco,2023-07-25 16:50:26.329876,"Q31,Q32",5bca94ef-b063-4879-b11c-0943b8e964fd
