value,std_dev,unit,chi_sq,verified,variable_name,backend,end_date,device_components,experiment_id
-28641.94964565026,337.95816734373915,,0.8461084433598586,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q0,Q1",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-38364.426642311795,329.337376488036,,1.214049974807672,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q5,Q4",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-29226.143295716825,748.7179808271588,,1.5795615408048163,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q9,Q8",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-39434.53289055589,409.294631304803,,1.3659120246638436,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q23,Q22",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-39468.64665450342,446.8850469434537,,3.583345247407837,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q30,Q31",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-31231.830539922823,355.86406098940125,,1.2127267397861656,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q37,Q38",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
122384.49514343798,526.3872786973309,,1.5533681278443947,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q42,Q41",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-112772.06066252224,385.5109547226833,,1.2854458592278581,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q46,Q45",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-31320.82334096489,388.9796889707888,,0.8200462886183826,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q50,Q49",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-40660.938807971695,348.09857456139423,,1.0120383960382848,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q56,Q57",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-31973.52085025396,458.1249917210753,,2.2690038464431237,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q60,Q61",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-32116.10808276427,362.0028371416289,,1.6676109135236936,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q65,Q64",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-32398.847459030418,415.6715095663688,,1.265754060362054,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q68,Q69",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-86728.54316384315,415.0549850592795,,1.5127623139387711,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q78,Q77",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-30368.59615366058,377.1580562005815,,1.1875805571883455,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q85,Q86",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-34098.078803619675,323.40746111881606,,0.9891876361948184,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q2,Q1",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-30300.537219599933,335.21996270001114,,0.9299843280603248,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q5,Q6",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-37930.41437357901,350.57815166523073,,1.317521723431109,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q10,Q9",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-30627.423260392785,415.8360017951265,,0.8424598340449114,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q23,Q24",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-34875.868596438355,384.52442300874236,,0.7544947418435336,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q31,Q32",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-19503.381333712296,482.5978470958334,,2.0678404561781076,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q38,Q39",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-31045.033776610242,503.12118676866334,,1.1321117516942496,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q42,Q43",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-42923.49054695088,351.37458988766673,,1.0312557212241555,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q46,Q47",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-37551.687410302686,433.38581469692326,,0.9427453325997552,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q51,Q50",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-29746.811068773935,351.552996625989,,1.110630417607274,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q57,Q58",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-33198.095460952056,375.59160501226546,,0.941981964159246,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q62,Q61",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-53880.01042927093,352.8323363209719,,1.3774426317290815,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q65,Q66",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-48277.07229134823,353.3656170777684,,1.3624898920627015,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q70,Q69",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-38764.114871224425,400.61929302249933,,1.3359801337582775,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q79,Q78",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-26913.542288789955,913.4388195626256,,1.766785736771729,False,zz,ibm_cusco,2023-07-26 00:36:54.549815,"Q87,Q86",cc339b7e-3429-4edb-bfbd-e91bea5dca4d
-22713.401746695883,56.0050850462488,,2.135052664073047,False,Delta_PO,ibm_cusco,2023-07-26 00:36:54.549815,Q1,cc339b7e-3429-4edb-bfbd-e91bea5dca4d
7886.013394730668,45.35434844145823,,2.135052664073047,False,nu_PO,ibm_cusco,2023-07-26 00:36:54.549815,Q1,cc339b7e-3429-4edb-bfbd-e91bea5dca4d
29400.58485857345,71.83434389980353,,2.135052664073047,False,freq_e,ibm_cusco,2023-07-26 00:36:54.549815,Q1,cc339b7e-3429-4edb-bfbd-e91bea5dca4d
45172.611648034785,72.29799432666366,,2.135052664073047,False,freq_o,ibm_cusco,2023-07-26 00:36:54.549815,Q1,cc339b7e-3429-4edb-bfbd-e91bea5dca4d
